method,accuracy_mean,accuracy_sd,accuracy_pooled_oof,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_pooled_oof,macro_f1_mean,macro_f1_sd,macro_f1_pooled_oof
proposed,0.9034095857300594,0.043115171360045924,0.9037206266318538,0.8957221944543707,0.047474421171010285,0.8966240362596176,0.8916514257677811,0.04762068663841505,0.8929432859113167
deepak2019,0.862306276502059,0.027710328388867184,0.862597911227154,0.8472874512170293,0.029369564393970097,0.84763604620143,0.845913097466944,0.0258369777653204,0.846942480934303
sekhar2021,0.8141256183298922,0.028948937489242717,0.814621409921671,0.7780953206981207,0.027147701465538104,0.7775383449153863,0.7774052789734267,0.030335502009908342,0.7792544038813022
swati2019,0.8327920694730123,0.027747887215223813,0.8328981723237598,0.8109315140526725,0.03162023974553175,0.8099848654131109,0.8119350041618005,0.02975125495176978,0.812659536316267
kang2021,0.8864648834365976,0.04784856876861569,0.8870757180156658,0.8753484563645199,0.051702134854782186,0.8772310309215722,0.8730077657704134,0.04898684465849323,0.8744619783765999
kang2021_pca,0.8937330279333817,0.041978823815045994,0.8942558746736292,0.8838649945503565,0.044964535484234486,0.885490342126185,0.8807737289539244,0.043555145589586675,0.8821474997319804
vit_rf,0.7794512516427698,0.052572460521198655,0.7803524804177546,0.7107097208258963,0.05458168937594849,0.7087704006571527,0.7070475300214514,0.07018030838520331,0.7095257977734062
linear_probe,0.9124158737577934,0.03976781433902917,0.9128590078328982,0.9049336758819848,0.03965939053569417,0.9061630520624506,0.9021402931094874,0.039700074311766756,0.9029710593830805
