comparison,delta_accuracy,ci_low,ci_high,p_raw,n_groups,p_holm
proposed minus deepak2019,0.02288329519450801,0.013729977116704805,0.032036613272311214,0.0004997501249375312,1311,0.0034982508745627187
proposed minus sekhar2021,0.08466819221967964,0.06864988558352403,0.10068649885583524,0.0004997501249375312,1311,0.0034982508745627187
proposed minus swati2019,0.04271548436308162,0.03051106025934401,0.05491990846681922,0.0004997501249375312,1311,0.0034982508745627187
proposed minus kang2021,0.008390541571319604,0.0007627765064836003,0.016018306636155607,0.04697651174412794,1311,0.04697651174412794
proposed minus kang2021_pca,0.009916094584286803,0.002288329519450801,0.016800152555301193,0.011494252873563218,1311,0.022988505747126436
proposed minus vit_rf,0.06712433257055683,0.05339435545385202,0.08161708619374523,0.0004997501249375312,1311,0.0034982508745627187
proposed minus linear_probe,0.016018306636155607,0.008390541571319604,0.02364607170099161,0.0004997501249375312,1311,0.0034982508745627187
