unit,a_correct_b_wrong,a_wrong_b_correct,discordant,p_exact_two_sided
slice_IID_DIAGNOSTIC_ONLY,78,106,184,0.04624472804214582
identifier_majority_vote,4,7,11,0.5488281250000008
